"Step","combined_9_GN1_1p - weights/sem","combined_9_GN1_1p - weights/sem__MIN","combined_9_GN1_1p - weights/sem__MAX","combined_10_GN1_1p - weights/sem","combined_10_GN1_1p - weights/sem__MIN","combined_10_GN1_1p - weights/sem__MAX","combined_8_GN1_1p - weights/sem","combined_8_GN1_1p - weights/sem__MIN","combined_8_GN1_1p - weights/sem__MAX","combined_7_GN1_1p - weights/sem","combined_7_GN1_1p - weights/sem__MIN","combined_7_GN1_1p - weights/sem__MAX","combined_6_GN1_1p - weights/sem","combined_6_GN1_1p - weights/sem__MIN","combined_6_GN1_1p - weights/sem__MAX","combined_5_GN1_1p - weights/sem","combined_5_GN1_1p - weights/sem__MIN","combined_5_GN1_1p - weights/sem__MAX","combined_4_GN1_1p - weights/sem","combined_4_GN1_1p - weights/sem__MIN","combined_4_GN1_1p - weights/sem__MAX","combined_3_GN1_1p - weights/sem","combined_3_GN1_1p - weights/sem__MIN","combined_3_GN1_1p - weights/sem__MAX","combined_2_GN1_1p - weights/sem","combined_2_GN1_1p - weights/sem__MIN","combined_2_GN1_1p - weights/sem__MAX","combined_1_GN1_1p - weights/sem","combined_1_GN1_1p - weights/sem__MIN","combined_1_GN1_1p - weights/sem__MAX"
"20","1.3651567697525024","1.3651567697525024","1.3651567697525024","1.3304080963134766","1.3304080963134766","1.3304080963134766","1.4688119888305664","1.4688119888305664","1.4688119888305664","1.3938132524490356","1.3938132524490356","1.3938132524490356","1.3444746732711792","1.3444746732711792","1.3444746732711792","1.3205698728561401","1.3205698728561401","1.3205698728561401","1.331271767616272","1.331271767616272","1.331271767616272","1.3919836282730103","1.3919836282730103","1.3919836282730103","1.4819111824035645","1.4819111824035645","1.4819111824035645","1.2917829751968384","1.2917829751968384","1.2917829751968384"
"21","1.373549461364746","1.373549461364746","1.373549461364746","1.3117196559906006","1.3117196559906006","1.3117196559906006","1.4743015766143799","1.4743015766143799","1.4743015766143799","1.4173725843429565","1.4173725843429565","1.4173725843429565","1.3584071397781372","1.3584071397781372","1.3584071397781372","1.3432203531265259","1.3432203531265259","1.3432203531265259","1.3373262882232666","1.3373262882232666","1.3373262882232666","1.4120893478393555","1.4120893478393555","1.4120893478393555","1.4786038398742676","1.4786038398742676","1.4786038398742676","1.3039069175720215","1.3039069175720215","1.3039069175720215"
"22","1.3984320163726807","1.3984320163726807","1.3984320163726807","1.3322612047195435","1.3322612047195435","1.3322612047195435","1.4819657802581787","1.4819657802581787","1.4819657802581787","1.452919363975525","1.452919363975525","1.452919363975525","1.3489736318588257","1.3489736318588257","1.3489736318588257","1.3641669750213623","1.3641669750213623","1.3641669750213623","1.3377690315246582","1.3377690315246582","1.3377690315246582","1.4162286520004272","1.4162286520004272","1.4162286520004272","1.4885377883911133","1.4885377883911133","1.4885377883911133","1.301585078239441","1.301585078239441","1.301585078239441"
"23","1.3910726308822632","1.3910726308822632","1.3910726308822632","1.3444836139678955","1.3444836139678955","1.3444836139678955","1.4824275970458984","1.4824275970458984","1.4824275970458984","1.4890179634094238","1.4890179634094238","1.4890179634094238","1.3492963314056396","1.3492963314056396","1.3492963314056396","1.3755167722702026","1.3755167722702026","1.3755167722702026","1.3362014293670654","1.3362014293670654","1.3362014293670654","1.4319576025009155","1.4319576025009155","1.4319576025009155","1.4737653732299805","1.4737653732299805","1.4737653732299805","1.3145681619644165","1.3145681619644165","1.3145681619644165"
"24","1.3827368021011353","1.3827368021011353","1.3827368021011353","1.3463141918182373","1.3463141918182373","1.3463141918182373","1.501143217086792","1.501143217086792","1.501143217086792","1.4692258834838867","1.4692258834838867","1.4692258834838867","1.3558272123336792","1.3558272123336792","1.3558272123336792","1.3759592771530151","1.3759592771530151","1.3759592771530151","1.3553850650787354","1.3553850650787354","1.3553850650787354","1.4443045854568481","1.4443045854568481","1.4443045854568481","1.4925963878631592","1.4925963878631592","1.4925963878631592","1.2972586154937744","1.2972586154937744","1.2972586154937744"
"25","1.388943076133728","1.388943076133728","1.388943076133728","1.3790397644042969","1.3790397644042969","1.3790397644042969","1.499074935913086","1.499074935913086","1.499074935913086","1.45480215549469","1.45480215549469","1.45480215549469","1.371939778327942","1.371939778327942","1.371939778327942","1.3871142864227295","1.3871142864227295","1.3871142864227295","1.3611515760421753","1.3611515760421753","1.3611515760421753","1.4453752040863037","1.4453752040863037","1.4453752040863037","1.507404088973999","1.507404088973999","1.507404088973999","1.3144328594207764","1.3144328594207764","1.3144328594207764"
"26","1.4059810638427734","1.4059810638427734","1.4059810638427734","1.386672854423523","1.386672854423523","1.386672854423523","1.4854031801223755","1.4854031801223755","1.4854031801223755","1.4546329975128174","1.4546329975128174","1.4546329975128174","1.3727059364318848","1.3727059364318848","1.3727059364318848","1.4037398099899292","1.4037398099899292","1.4037398099899292","1.3816723823547363","1.3816723823547363","1.3816723823547363","1.4456048011779785","1.4456048011779785","1.4456048011779785","1.5197633504867554","1.5197633504867554","1.5197633504867554","1.3307859897613525","1.3307859897613525","1.3307859897613525"
"27","1.4069162607192993","1.4069162607192993","1.4069162607192993","1.3716728687286377","1.3716728687286377","1.3716728687286377","1.4699636697769165","1.4699636697769165","1.4699636697769165","1.4648488759994507","1.4648488759994507","1.4648488759994507","1.372537612915039","1.372537612915039","1.372537612915039","1.4238834381103516","1.4238834381103516","1.4238834381103516","1.389235496520996","1.389235496520996","1.389235496520996","1.4433804750442505","1.4433804750442505","1.4433804750442505","1.5029513835906982","1.5029513835906982","1.5029513835906982","1.3336706161499023","1.3336706161499023","1.3336706161499023"
"28","1.4111796617507935","1.4111796617507935","1.4111796617507935","1.3450498580932617","1.3450498580932617","1.3450498580932617","1.4744290113449097","1.4744290113449097","1.4744290113449097","1.5108987092971802","1.5108987092971802","1.5108987092971802","1.369368314743042","1.369368314743042","1.369368314743042","1.4045785665512085","1.4045785665512085","1.4045785665512085","1.3786795139312744","1.3786795139312744","1.3786795139312744","1.4469391107559204","1.4469391107559204","1.4469391107559204","1.4812411069869995","1.4812411069869995","1.4812411069869995","1.3561335802078247","1.3561335802078247","1.3561335802078247"
"29","1.4114491939544678","1.4114491939544678","1.4114491939544678","1.3590500354766846","1.3590500354766846","1.3590500354766846","1.4609110355377197","1.4609110355377197","1.4609110355377197","1.527908444404602","1.527908444404602","1.527908444404602","1.3654729127883911","1.3654729127883911","1.3654729127883911","1.3988741636276245","1.3988741636276245","1.3988741636276245","1.3791438341140747","1.3791438341140747","1.3791438341140747","1.4398777484893799","1.4398777484893799","1.4398777484893799","1.4912364482879639","1.4912364482879639","1.4912364482879639","1.345397710800171","1.345397710800171","1.345397710800171"
"30","1.406660795211792","1.406660795211792","1.406660795211792","1.3638784885406494","1.3638784885406494","1.3638784885406494","1.4612071514129639","1.4612071514129639","1.4612071514129639","1.5172537565231323","1.5172537565231323","1.5172537565231323","1.395733118057251","1.395733118057251","1.395733118057251","1.4051662683486938","1.4051662683486938","1.4051662683486938","1.3885700702667236","1.3885700702667236","1.3885700702667236","1.4502681493759155","1.4502681493759155","1.4502681493759155","1.5067671537399292","1.5067671537399292","1.5067671537399292","1.3577433824539185","1.3577433824539185","1.3577433824539185"
"31","1.405515193939209","1.405515193939209","1.405515193939209","1.3961461782455444","1.3961461782455444","1.3961461782455444","1.4505609273910522","1.4505609273910522","1.4505609273910522","1.5370018482208252","1.5370018482208252","1.5370018482208252","1.428518533706665","1.428518533706665","1.428518533706665","1.4007047414779663","1.4007047414779663","1.4007047414779663","1.4038382768630981","1.4038382768630981","1.4038382768630981","1.474025845527649","1.474025845527649","1.474025845527649","1.528304100036621","1.528304100036621","1.528304100036621","1.3645399808883667","1.3645399808883667","1.3645399808883667"
"32","1.3953014612197876","1.3953014612197876","1.3953014612197876","1.3932408094406128","1.3932408094406128","1.3932408094406128","1.4684721231460571","1.4684721231460571","1.4684721231460571","1.5492441654205322","1.5492441654205322","1.5492441654205322","1.431369423866272","1.431369423866272","1.431369423866272","1.3987882137298584","1.3987882137298584","1.3987882137298584","1.4171972274780273","1.4171972274780273","1.4171972274780273","1.4632827043533325","1.4632827043533325","1.4632827043533325","1.5389714241027832","1.5389714241027832","1.5389714241027832","1.3650048971176147","1.3650048971176147","1.3650048971176147"
"33","1.399104356765747","1.399104356765747","1.399104356765747","1.3895890712738037","1.3895890712738037","1.3895890712738037","1.4820667505264282","1.4820667505264282","1.4820667505264282","1.5630381107330322","1.5630381107330322","1.5630381107330322","1.4136455059051514","1.4136455059051514","1.4136455059051514","1.3827896118164062","1.3827896118164062","1.3827896118164062","1.4157911539077759","1.4157911539077759","1.4157911539077759","1.4364032745361328","1.4364032745361328","1.4364032745361328","1.5372647047042847","1.5372647047042847","1.5372647047042847","1.3837045431137085","1.3837045431137085","1.3837045431137085"
"34","1.404423713684082","1.404423713684082","1.404423713684082","1.408510446548462","1.408510446548462","1.408510446548462","1.493104100227356","1.493104100227356","1.493104100227356","1.5517691373825073","1.5517691373825073","1.5517691373825073","1.4280962944030762","1.4280962944030762","1.4280962944030762","1.395200252532959","1.395200252532959","1.395200252532959","1.4208813905715942","1.4208813905715942","1.4208813905715942","1.4301789999008179","1.4301789999008179","1.4301789999008179","1.5102659463882446","1.5102659463882446","1.5102659463882446","1.3894233703613281","1.3894233703613281","1.3894233703613281"
"35","1.422605276107788","1.422605276107788","1.422605276107788","1.419084072113037","1.419084072113037","1.419084072113037","1.4889494180679321","1.4889494180679321","1.4889494180679321","1.560408592224121","1.560408592224121","1.560408592224121","1.4371438026428223","1.4371438026428223","1.4371438026428223","1.3976994752883911","1.3976994752883911","1.3976994752883911","1.4134782552719116","1.4134782552719116","1.4134782552719116","1.4316054582595825","1.4316054582595825","1.4316054582595825","1.509713888168335","1.509713888168335","1.509713888168335","1.4071240425109863","1.4071240425109863","1.4071240425109863"
"36","1.4205721616744995","1.4205721616744995","1.4205721616744995","1.4100315570831299","1.4100315570831299","1.4100315570831299","1.4933024644851685","1.4933024644851685","1.4933024644851685","1.5438228845596313","1.5438228845596313","1.5438228845596313","1.436880350112915","1.436880350112915","1.436880350112915","1.412615418434143","1.412615418434143","1.412615418434143","1.423573613166809","1.423573613166809","1.423573613166809","1.4579226970672607","1.4579226970672607","1.4579226970672607","1.5223474502563477","1.5223474502563477","1.5223474502563477","1.404252290725708","1.404252290725708","1.404252290725708"
"37","1.4231548309326172","1.4231548309326172","1.4231548309326172","1.402836799621582","1.402836799621582","1.402836799621582","1.5025533437728882","1.5025533437728882","1.5025533437728882","1.5335391759872437","1.5335391759872437","1.5335391759872437","1.4503824710845947","1.4503824710845947","1.4503824710845947","1.420587182044983","1.420587182044983","1.420587182044983","1.4391876459121704","1.4391876459121704","1.4391876459121704","1.4616345167160034","1.4616345167160034","1.4616345167160034","1.5278785228729248","1.5278785228729248","1.5278785228729248","1.402211308479309","1.402211308479309","1.402211308479309"
"38","1.4262217283248901","1.4262217283248901","1.4262217283248901","1.390140175819397","1.390140175819397","1.390140175819397","1.4877976179122925","1.4877976179122925","1.4877976179122925","1.5386161804199219","1.5386161804199219","1.5386161804199219","1.4377042055130005","1.4377042055130005","1.4377042055130005","1.4252432584762573","1.4252432584762573","1.4252432584762573","1.4365060329437256","1.4365060329437256","1.4365060329437256","1.4583626985549927","1.4583626985549927","1.4583626985549927","1.5401493310928345","1.5401493310928345","1.5401493310928345","1.3952909708023071","1.3952909708023071","1.3952909708023071"
"39","1.4402408599853516","1.4402408599853516","1.4402408599853516","1.3723920583724976","1.3723920583724976","1.3723920583724976","1.5037931203842163","1.5037931203842163","1.5037931203842163","1.5393447875976562","1.5393447875976562","1.5393447875976562","1.4140545129776","1.4140545129776","1.4140545129776","1.4261274337768555","1.4261274337768555","1.4261274337768555","1.4384726285934448","1.4384726285934448","1.4384726285934448","1.4663883447647095","1.4663883447647095","1.4663883447647095","1.542161464691162","1.542161464691162","1.542161464691162","1.3767902851104736","1.3767902851104736","1.3767902851104736"
"40","1.4309818744659424","1.4309818744659424","1.4309818744659424","1.4151403903961182","1.4151403903961182","1.4151403903961182","1.4857051372528076","1.4857051372528076","1.4857051372528076","1.5307079553604126","1.5307079553604126","1.5307079553604126","1.4133764505386353","1.4133764505386353","1.4133764505386353","1.4264566898345947","1.4264566898345947","1.4264566898345947","1.42340087890625","1.42340087890625","1.42340087890625","1.4644901752471924","1.4644901752471924","1.4644901752471924","1.5597705841064453","1.5597705841064453","1.5597705841064453","1.4008876085281372","1.4008876085281372","1.4008876085281372"
"41","1.4350793361663818","1.4350793361663818","1.4350793361663818","1.4358930587768555","1.4358930587768555","1.4358930587768555","1.4834495782852173","1.4834495782852173","1.4834495782852173","1.531256079673767","1.531256079673767","1.531256079673767","1.4178146123886108","1.4178146123886108","1.4178146123886108","1.432448387145996","1.432448387145996","1.432448387145996","1.4447053670883179","1.4447053670883179","1.4447053670883179","1.4516328573226929","1.4516328573226929","1.4516328573226929","1.560325264930725","1.560325264930725","1.560325264930725","1.4054827690124512","1.4054827690124512","1.4054827690124512"
"42","1.4527006149291992","1.4527006149291992","1.4527006149291992","1.4224971532821655","1.4224971532821655","1.4224971532821655","1.482607126235962","1.482607126235962","1.482607126235962","1.5148582458496094","1.5148582458496094","1.5148582458496094","1.4251415729522705","1.4251415729522705","1.4251415729522705","1.4197664260864258","1.4197664260864258","1.4197664260864258","1.4415117502212524","1.4415117502212524","1.4415117502212524","1.4846291542053223","1.4846291542053223","1.4846291542053223","1.5644497871398926","1.5644497871398926","1.5644497871398926","1.408644437789917","1.408644437789917","1.408644437789917"
"43","1.4576650857925415","1.4576650857925415","1.4576650857925415","1.4158052206039429","1.4158052206039429","1.4158052206039429","1.5089002847671509","1.5089002847671509","1.5089002847671509","1.533122181892395","1.533122181892395","1.533122181892395","1.4237310886383057","1.4237310886383057","1.4237310886383057","1.4229503870010376","1.4229503870010376","1.4229503870010376","1.4407954216003418","1.4407954216003418","1.4407954216003418","1.494683861732483","1.494683861732483","1.494683861732483","1.5547528266906738","1.5547528266906738","1.5547528266906738","1.4199471473693848","1.4199471473693848","1.4199471473693848"
"44","1.468522548675537","1.468522548675537","1.468522548675537","1.4339931011199951","1.4339931011199951","1.4339931011199951","1.5324395895004272","1.5324395895004272","1.5324395895004272","1.5171564817428589","1.5171564817428589","1.5171564817428589","1.4508490562438965","1.4508490562438965","1.4508490562438965","1.4248064756393433","1.4248064756393433","1.4248064756393433","1.4157483577728271","1.4157483577728271","1.4157483577728271","1.4753564596176147","1.4753564596176147","1.4753564596176147","1.5476452112197876","1.5476452112197876","1.5476452112197876","1.4118207693099976","1.4118207693099976","1.4118207693099976"
