"Step","combined_9_GN1_1p - weights/vad","combined_9_GN1_1p - weights/vad__MIN","combined_9_GN1_1p - weights/vad__MAX","combined_10_GN1_1p - weights/vad","combined_10_GN1_1p - weights/vad__MIN","combined_10_GN1_1p - weights/vad__MAX","combined_8_GN1_1p - weights/vad","combined_8_GN1_1p - weights/vad__MIN","combined_8_GN1_1p - weights/vad__MAX","combined_7_GN1_1p - weights/vad","combined_7_GN1_1p - weights/vad__MIN","combined_7_GN1_1p - weights/vad__MAX","combined_6_GN1_1p - weights/vad","combined_6_GN1_1p - weights/vad__MIN","combined_6_GN1_1p - weights/vad__MAX","combined_5_GN1_1p - weights/vad","combined_5_GN1_1p - weights/vad__MIN","combined_5_GN1_1p - weights/vad__MAX","combined_4_GN1_1p - weights/vad","combined_4_GN1_1p - weights/vad__MIN","combined_4_GN1_1p - weights/vad__MAX","combined_3_GN1_1p - weights/vad","combined_3_GN1_1p - weights/vad__MIN","combined_3_GN1_1p - weights/vad__MAX","combined_2_GN1_1p - weights/vad","combined_2_GN1_1p - weights/vad__MIN","combined_2_GN1_1p - weights/vad__MAX","combined_1_GN1_1p - weights/vad","combined_1_GN1_1p - weights/vad__MIN","combined_1_GN1_1p - weights/vad__MAX"
"20","0.31535258889198303","0.31535258889198303","0.31535258889198303","0.3124672472476959","0.3124672472476959","0.3124672472476959","0.3211747407913208","0.3211747407913208","0.3211747407913208","0.32623299956321716","0.32623299956321716","0.32623299956321716","0.29456794261932373","0.29456794261932373","0.29456794261932373","0.3155481517314911","0.3155481517314911","0.3155481517314911","0.31727200746536255","0.31727200746536255","0.31727200746536255","0.2904565632343292","0.2904565632343292","0.2904565632343292","0.30824926495552063","0.30824926495552063","0.30824926495552063","0.3176375925540924","0.3176375925540924","0.3176375925540924"
"21","0.31692060828208923","0.31692060828208923","0.31692060828208923","0.33169248700141907","0.33169248700141907","0.33169248700141907","0.3394780457019806","0.3394780457019806","0.3394780457019806","0.3342323899269104","0.3342323899269104","0.3342323899269104","0.30661264061927795","0.30661264061927795","0.30661264061927795","0.309761643409729","0.309761643409729","0.309761643409729","0.2924115061759949","0.2924115061759949","0.2924115061759949","0.29254400730133057","0.29254400730133057","0.29254400730133057","0.3191125988960266","0.3191125988960266","0.3191125988960266","0.30367541313171387","0.30367541313171387","0.30367541313171387"
"22","0.3084114193916321","0.3084114193916321","0.3084114193916321","0.3339988589286804","0.3339988589286804","0.3339988589286804","0.35896769165992737","0.35896769165992737","0.35896769165992737","0.3032538890838623","0.3032538890838623","0.3032538890838623","0.2967503070831299","0.2967503070831299","0.2967503070831299","0.326876163482666","0.326876163482666","0.326876163482666","0.3140358626842499","0.3140358626842499","0.3140358626842499","0.30630791187286377","0.30630791187286377","0.30630791187286377","0.3192937672138214","0.3192937672138214","0.3192937672138214","0.313418447971344","0.313418447971344","0.313418447971344"
"23","0.31740814447402954","0.31740814447402954","0.31740814447402954","0.3308568298816681","0.3308568298816681","0.3308568298816681","0.3604808747768402","0.3604808747768402","0.3604808747768402","0.2920183837413788","0.2920183837413788","0.2920183837413788","0.32418906688690186","0.32418906688690186","0.32418906688690186","0.3346671760082245","0.3346671760082245","0.3346671760082245","0.3116336762905121","0.3116336762905121","0.3116336762905121","0.3271406888961792","0.3271406888961792","0.3271406888961792","0.33912718296051025","0.33912718296051025","0.33912718296051025","0.3331174850463867","0.3331174850463867","0.3331174850463867"
"24","0.3419998288154602","0.3419998288154602","0.3419998288154602","0.329940527677536","0.329940527677536","0.329940527677536","0.32192492485046387","0.32192492485046387","0.32192492485046387","0.31338539719581604","0.31338539719581604","0.31338539719581604","0.3334008753299713","0.3334008753299713","0.3334008753299713","0.3494819104671478","0.3494819104671478","0.3494819104671478","0.321442574262619","0.321442574262619","0.321442574262619","0.3200244903564453","0.3200244903564453","0.3200244903564453","0.34791091084480286","0.34791091084480286","0.34791091084480286","0.3658584952354431","0.3658584952354431","0.3658584952354431"
"25","0.329584002494812","0.329584002494812","0.329584002494812","0.3291065990924835","0.3291065990924835","0.3291065990924835","0.3068881928920746","0.3068881928920746","0.3068881928920746","0.32210007309913635","0.32210007309913635","0.32210007309913635","0.3175213634967804","0.3175213634967804","0.3175213634967804","0.3438511788845062","0.3438511788845062","0.3438511788845062","0.33968815207481384","0.33968815207481384","0.33968815207481384","0.3081696629524231","0.3081696629524231","0.3081696629524231","0.3284369707107544","0.3284369707107544","0.3284369707107544","0.3593536615371704","0.3593536615371704","0.3593536615371704"
"26","0.3306383192539215","0.3306383192539215","0.3306383192539215","0.32100075483322144","0.32100075483322144","0.32100075483322144","0.32744407653808594","0.32744407653808594","0.32744407653808594","0.348397821187973","0.348397821187973","0.348397821187973","0.32593807578086853","0.32593807578086853","0.32593807578086853","0.3340074419975281","0.3340074419975281","0.3340074419975281","0.34139421582221985","0.34139421582221985","0.34139421582221985","0.2923003137111664","0.2923003137111664","0.2923003137111664","0.33983081579208374","0.33983081579208374","0.33983081579208374","0.3514285683631897","0.3514285683631897","0.3514285683631897"
"27","0.35093140602111816","0.35093140602111816","0.35093140602111816","0.32608160376548767","0.32608160376548767","0.32608160376548767","0.32619842886924744","0.32619842886924744","0.32619842886924744","0.3537997603416443","0.3537997603416443","0.3537997603416443","0.332842618227005","0.332842618227005","0.332842618227005","0.3278186023235321","0.3278186023235321","0.3278186023235321","0.32482436299324036","0.32482436299324036","0.32482436299324036","0.3050573766231537","0.3050573766231537","0.3050573766231537","0.3707824945449829","0.3707824945449829","0.3707824945449829","0.3478947877883911","0.3478947877883911","0.3478947877883911"
"28","0.33961379528045654","0.33961379528045654","0.33961379528045654","0.3552969992160797","0.3552969992160797","0.3552969992160797","0.35703524947166443","0.35703524947166443","0.35703524947166443","0.3376002311706543","0.3376002311706543","0.3376002311706543","0.34630340337753296","0.34630340337753296","0.34630340337753296","0.34583792090415955","0.34583792090415955","0.34583792090415955","0.32448166608810425","0.32448166608810425","0.32448166608810425","0.3138783872127533","0.3138783872127533","0.3138783872127533","0.3730529248714447","0.3730529248714447","0.3730529248714447","0.3458465337753296","0.3458465337753296","0.3458465337753296"
"29","0.3511512875556946","0.3511512875556946","0.3511512875556946","0.3624933063983917","0.3624933063983917","0.3624933063983917","0.3771819472312927","0.3771819472312927","0.3771819472312927","0.3346973657608032","0.3346973657608032","0.3346973657608032","0.3691990375518799","0.3691990375518799","0.3691990375518799","0.36589035391807556","0.36589035391807556","0.36589035391807556","0.3470727503299713","0.3470727503299713","0.3470727503299713","0.35168811678886414","0.35168811678886414","0.35168811678886414","0.3872334659099579","0.3872334659099579","0.3872334659099579","0.36704176664352417","0.36704176664352417","0.36704176664352417"
"30","0.3604015111923218","0.3604015111923218","0.3604015111923218","0.3639198839664459","0.3639198839664459","0.3639198839664459","0.3970404267311096","0.3970404267311096","0.3970404267311096","0.3456655442714691","0.3456655442714691","0.3456655442714691","0.3337721526622772","0.3337721526622772","0.3337721526622772","0.35850217938423157","0.35850217938423157","0.35850217938423157","0.34558287262916565","0.34558287262916565","0.34558287262916565","0.35125187039375305","0.35125187039375305","0.35125187039375305","0.35952457785606384","0.35952457785606384","0.35952457785606384","0.3559560477733612","0.3559560477733612","0.3559560477733612"
"31","0.3825419843196869","0.3825419843196869","0.3825419843196869","0.3442593514919281","0.3442593514919281","0.3442593514919281","0.4414542615413666","0.4414542615413666","0.4414542615413666","0.36159130930900574","0.36159130930900574","0.36159130930900574","0.33091095089912415","0.33091095089912415","0.33091095089912415","0.36517786979675293","0.36517786979675293","0.36517786979675293","0.3306906819343567","0.3306906819343567","0.3306906819343567","0.31642448902130127","0.31642448902130127","0.31642448902130127","0.34312355518341064","0.34312355518341064","0.34312355518341064","0.3373149335384369","0.3373149335384369","0.3373149335384369"
"32","0.39639347791671753","0.39639347791671753","0.39639347791671753","0.3662049472332001","0.3662049472332001","0.3662049472332001","0.42556485533714294","0.42556485533714294","0.42556485533714294","0.36485448479652405","0.36485448479652405","0.36485448479652405","0.3352380692958832","0.3352380692958832","0.3352380692958832","0.3665006756782532","0.3665006756782532","0.3665006756782532","0.3468462824821472","0.3468462824821472","0.3468462824821472","0.31686288118362427","0.31686288118362427","0.31686288118362427","0.357239305973053","0.357239305973053","0.357239305973053","0.3741297721862793","0.3741297721862793","0.3741297721862793"
"33","0.37172064185142517","0.37172064185142517","0.37172064185142517","0.38243523240089417","0.38243523240089417","0.38243523240089417","0.4355258047580719","0.4355258047580719","0.4355258047580719","0.3580628037452698","0.3580628037452698","0.3580628037452698","0.3479904532432556","0.3479904532432556","0.3479904532432556","0.4002704620361328","0.4002704620361328","0.4002704620361328","0.34839361906051636","0.34839361906051636","0.34839361906051636","0.32623669505119324","0.32623669505119324","0.32623669505119324","0.3740500807762146","0.3740500807762146","0.3740500807762146","0.35518568754196167","0.35518568754196167","0.35518568754196167"
