"Step","combined_9_GN1_1p - weights/ekman","combined_9_GN1_1p - weights/ekman__MIN","combined_9_GN1_1p - weights/ekman__MAX","combined_10_GN1_1p - weights/ekman","combined_10_GN1_1p - weights/ekman__MIN","combined_10_GN1_1p - weights/ekman__MAX","combined_8_GN1_1p - weights/ekman","combined_8_GN1_1p - weights/ekman__MIN","combined_8_GN1_1p - weights/ekman__MAX","combined_7_GN1_1p - weights/ekman","combined_7_GN1_1p - weights/ekman__MIN","combined_7_GN1_1p - weights/ekman__MAX","combined_6_GN1_1p - weights/ekman","combined_6_GN1_1p - weights/ekman__MIN","combined_6_GN1_1p - weights/ekman__MAX","combined_5_GN1_1p - weights/ekman","combined_5_GN1_1p - weights/ekman__MIN","combined_5_GN1_1p - weights/ekman__MAX","combined_4_GN1_1p - weights/ekman","combined_4_GN1_1p - weights/ekman__MIN","combined_4_GN1_1p - weights/ekman__MAX","combined_3_GN1_1p - weights/ekman","combined_3_GN1_1p - weights/ekman__MIN","combined_3_GN1_1p - weights/ekman__MAX","combined_2_GN1_1p - weights/ekman","combined_2_GN1_1p - weights/ekman__MIN","combined_2_GN1_1p - weights/ekman__MAX","combined_1_GN1_1p - weights/ekman","combined_1_GN1_1p - weights/ekman__MIN","combined_1_GN1_1p - weights/ekman__MAX"
"20","1.3194900751113892","1.3194900751113892","1.3194900751113892","1.3571244478225708","1.3571244478225708","1.3571244478225708","1.2100130319595337","1.2100130319595337","1.2100130319595337","1.2799537181854248","1.2799537181854248","1.2799537181854248","1.3609567880630493","1.3609567880630493","1.3609567880630493","1.3638828992843628","1.3638828992843628","1.3638828992843628","1.3514565229415894","1.3514565229415894","1.3514565229415894","1.3175605535507202","1.3175605535507202","1.3175605535507202","1.2098398208618164","1.2098398208618164","1.2098398208618164","1.3905794620513916","1.3905794620513916","1.3905794620513916"
"21","1.3095293045043945","1.3095293045043945","1.3095293045043945","1.3565876483917236","1.3565876483917236","1.3565876483917236","1.1862199306488037","1.1862199306488037","1.1862199306488037","1.2483952045440674","1.2483952045440674","1.2483952045440674","1.3349801301956177","1.3349801301956177","1.3349801301956177","1.3470180034637451","1.3470180034637451","1.3470180034637451","1.3702623844146729","1.3702623844146729","1.3702623844146729","1.2953673601150513","1.2953673601150513","1.2953673601150513","1.2022840976715088","1.2022840976715088","1.2022840976715088","1.3924180269241333","1.3924180269241333","1.3924180269241333"
"22","1.2931557893753052","1.2931557893753052","1.2931557893753052","1.333739995956421","1.333739995956421","1.333739995956421","1.159066915512085","1.159066915512085","1.159066915512085","1.243826150894165","1.243826150894165","1.243826150894165","1.3542759418487549","1.3542759418487549","1.3542759418487549","1.3089567422866821","1.3089567422866821","1.3089567422866821","1.348195195198059","1.348195195198059","1.348195195198059","1.2774637937545776","1.2774637937545776","1.2774637937545776","1.1921682357788086","1.1921682357788086","1.1921682357788086","1.3849965333938599","1.3849965333938599","1.3849965333938599"
"23","1.2915202379226685","1.2915202379226685","1.2915202379226685","1.324660062789917","1.324660062789917","1.324660062789917","1.1570922136306763","1.1570922136306763","1.1570922136306763","1.2189642190933228","1.2189642190933228","1.2189642190933228","1.3265146017074585","1.3265146017074585","1.3265146017074585","1.2898156642913818","1.2898156642913818","1.2898156642913818","1.3521653413772583","1.3521653413772583","1.3521653413772583","1.240902066230774","1.240902066230774","1.240902066230774","1.1871073246002197","1.1871073246002197","1.1871073246002197","1.3523144721984863","1.3523144721984863","1.3523144721984863"
"24","1.2752635478973389","1.2752635478973389","1.2752635478973389","1.3237459659576416","1.3237459659576416","1.3237459659576416","1.1769318580627441","1.1769318580627441","1.1769318580627441","1.2173887491226196","1.2173887491226196","1.2173887491226196","1.3107707500457764","1.3107707500457764","1.3107707500457764","1.2745589017868042","1.2745589017868042","1.2745589017868042","1.323172926902771","1.323172926902771","1.323172926902771","1.235670566558838","1.235670566558838","1.235670566558838","1.159493088722229","1.159493088722229","1.159493088722229","1.3368827104568481","1.3368827104568481","1.3368827104568481"
"25","1.2814736366271973","1.2814736366271973","1.2814736366271973","1.2918537855148315","1.2918537855148315","1.2918537855148315","1.1940360069274902","1.1940360069274902","1.1940360069274902","1.2230981588363647","1.2230981588363647","1.2230981588363647","1.3105393648147583","1.3105393648147583","1.3105393648147583","1.2690349817276","1.2690349817276","1.2690349817276","1.2991600036621094","1.2991600036621094","1.2991600036621094","1.2464559078216553","1.2464559078216553","1.2464559078216553","1.1641591787338257","1.1641591787338257","1.1641591787338257","1.3262135982513428","1.3262135982513428","1.3262135982513428"
"26","1.2633808851242065","1.2633808851242065","1.2633808851242065","1.2923260927200317","1.2923260927200317","1.2923260927200317","1.1871525049209595","1.1871525049209595","1.1871525049209595","1.196968913078308","1.196968913078308","1.196968913078308","1.3013561964035034","1.3013561964035034","1.3013561964035034","1.2622524499893188","1.2622524499893188","1.2622524499893188","1.2769330739974976","1.2769330739974976","1.2769330739974976","1.2620952129364014","1.2620952129364014","1.2620952129364014","1.1404057741165161","1.1404057741165161","1.1404057741165161","1.3177862167358398","1.3177862167358398","1.3177862167358398"
"27","1.2421530485153198","1.2421530485153198","1.2421530485153198","1.3022456169128418","1.3022456169128418","1.3022456169128418","1.2038376331329346","1.2038376331329346","1.2038376331329346","1.181350827217102","1.181350827217102","1.181350827217102","1.2946196794509888","1.2946196794509888","1.2946196794509888","1.2482978105545044","1.2482978105545044","1.2482978105545044","1.285940170288086","1.285940170288086","1.285940170288086","1.2515629529953003","1.2515629529953003","1.2515629529953003","1.126266360282898","1.126266360282898","1.126266360282898","1.3184348344802856","1.3184348344802856","1.3184348344802856"
"28","1.2492060661315918","1.2492060661315918","1.2492060661315918","1.2996537685394287","1.2996537685394287","1.2996537685394287","1.1685353517532349","1.1685353517532349","1.1685353517532349","1.151502013206482","1.151502013206482","1.151502013206482","1.284327507019043","1.284327507019043","1.284327507019043","1.2495830059051514","1.2495830059051514","1.2495830059051514","1.296838641166687","1.296838641166687","1.296838641166687","1.2391810417175293","1.2391810417175293","1.2391810417175293","1.145706295967102","1.145706295967102","1.145706295967102","1.2980201244354248","1.2980201244354248","1.2980201244354248"
"29","1.2374000549316406","1.2374000549316406","1.2374000549316406","1.2784557342529297","1.2784557342529297","1.2784557342529297","1.1619069576263428","1.1619069576263428","1.1619069576263428","1.1373944282531738","1.1373944282531738","1.1373944282531738","1.2653281688690186","1.2653281688690186","1.2653281688690186","1.2352350950241089","1.2352350950241089","1.2352350950241089","1.2737839221954346","1.2737839221954346","1.2737839221954346","1.208433747291565","1.208433747291565","1.208433747291565","1.1215293407440186","1.1215293407440186","1.1215293407440186","1.2875607013702393","1.2875607013702393","1.2875607013702393"
"30","1.2329384088516235","1.2329384088516235","1.2329384088516235","1.272201657295227","1.272201657295227","1.272201657295227","1.1417522430419922","1.1417522430419922","1.1417522430419922","1.1370800733566284","1.1370800733566284","1.1370800733566284","1.2704945802688599","1.2704945802688599","1.2704945802688599","1.2363313436508179","1.2363313436508179","1.2363313436508179","1.265847086906433","1.265847086906433","1.265847086906433","1.1984808444976807","1.1984808444976807","1.1984808444976807","1.1337085962295532","1.1337085962295532","1.1337085962295532","1.2863004207611084","1.2863004207611084","1.2863004207611084"
"31","1.2119425535202026","1.2119425535202026","1.2119425535202026","1.2595947980880737","1.2595947980880737","1.2595947980880737","1.1079844236373901","1.1079844236373901","1.1079844236373901","1.1014081239700317","1.1014081239700317","1.1014081239700317","1.2405710220336914","1.2405710220336914","1.2405710220336914","1.2341179847717285","1.2341179847717285","1.2341179847717285","1.2654707431793213","1.2654707431793213","1.2654707431793213","1.2095491886138916","1.2095491886138916","1.2095491886138916","1.1285721063613892","1.1285721063613892","1.1285721063613892","1.2981460094451904","1.2981460094451904","1.2981460094451904"
"32","1.2083052396774292","1.2083052396774292","1.2083052396774292","1.240553855895996","1.240553855895996","1.240553855895996","1.1059634685516357","1.1059634685516357","1.1059634685516357","1.0859014987945557","1.0859014987945557","1.0859014987945557","1.2333922386169434","1.2333922386169434","1.2333922386169434","1.2347112894058228","1.2347112894058228","1.2347112894058228","1.235957384109497","1.235957384109497","1.235957384109497","1.219854712486267","1.219854712486267","1.219854712486267","1.10378897190094","1.10378897190094","1.10378897190094","1.2608654499053955","1.2608654499053955","1.2608654499053955"
"33","1.2291749715805054","1.2291749715805054","1.2291749715805054","1.2279754877090454","1.2279754877090454","1.2279754877090454","1.0824079513549805","1.0824079513549805","1.0824079513549805","1.0788995027542114","1.0788995027542114","1.0788995027542114","1.2383641004562378","1.2383641004562378","1.2383641004562378","1.2169396877288818","1.2169396877288818","1.2169396877288818","1.2358152866363525","1.2358152866363525","1.2358152866363525","1.2373603582382202","1.2373603582382202","1.2373603582382202","1.0886849164962769","1.0886849164962769","1.0886849164962769","1.2611088752746582","1.2611088752746582","1.2611088752746582"
"34","1.2271541357040405","1.2271541357040405","1.2271541357040405","1.215911626815796","1.215911626815796","1.215911626815796","1.0768297910690308","1.0768297910690308","1.0768297910690308","1.0702706575393677","1.0702706575393677","1.0702706575393677","1.2132127285003662","1.2132127285003662","1.2132127285003662","1.2052651643753052","1.2052651643753052","1.2052651643753052","1.2138526439666748","1.2138526439666748","1.2138526439666748","1.2106773853302002","1.2106773853302002","1.2106773853302002","1.0900917053222656","1.0900917053222656","1.0900917053222656","1.2370339632034302","1.2370339632034302","1.2370339632034302"
